MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,FLUX_V,FLUX_B,OTYPE,SCRIPT_NUMBER_ID,distance_pc,M_V,luminosity,B-V,temperature_K
BD+47   449,01 34 11.2204,+47 59 55.557,14,14,0.022,0.021,90,A,O,2020yCat.1350....0G,1.2919,9.84,9.88,Star,0,0.7740537193281214,15.396144491170778,5.4643964878938295e-05,0.040000000000000924,9652.203136124443
BD+47   452,01 34 21.7418,+47 56 44.077,14,14,0.0156,0.0128,90,A,O,2020yCat.1350....0G,1.1411,9.6,10.97,Star,0,0.8763473841030585,14.886618526846421,8.736803926173231e-05,1.370000000000001,4000.1320989496994
BD+47   454,01 34 29.1303,+48 00 33.284,14,14,0.0157,0.0128,90,A,O,2020yCat.1350....0G,4.6359,9.1,10.05,Star,0,0.21570784529433334,17.43067029659952,8.389418924227744e-06,0.9500000000000011,4866.08438415667
TYC 3265-569-1,01 27 01.4270,+45 42 04.069,14,14,0.0155,0.0128,90,A,O,2020yCat.1350....0G,4.563,9.77,10.68,HighPM*,0,0.21915406530791148,18.066252343863304,4.671959425985237e-06,0.9100000000000001,4969.76118064274
TYC 3278-1664-1,01 40 15.6164,+46 42 51.514,14,14,0.0127,0.0112,90,A,O,2020yCat.1350....0G,0.7721,9.96,11.17,Star,0,1.2951690195570522,14.398367762272239,0.00013697865422873713,1.209999999999999,4289.198896803437
HD  10212,01 40 49.6898,+45 01 08.219,14,14,0.0301,0.0221,90,A,O,2020yCat.1350....0G,6.2704,8.13,9.1,HighPM*,0,0.1594794590456749,17.116476230670138,1.1204939288078314e-05,0.9699999999999989,4815.940934665452
HD  10306,01 41 43.0990,+45 03 12.661,14,14,0.0478,0.038,90,A,O,2020yCat.1350....0G,3.1962,8.44,8.57,Star,0,0.31287153494775044,15.963169735842367,3.2413961030983135e-05,0.13000000000000078,8747.606288403853
BD+44   351,01 41 51.1052,+45 13 15.113,14,14,0.0208,0.0163,90,A,O,2020yCat.1350....0G,20.0296,8.6,9.38,HighPM*,0,0.049926109358149943,20.108361381633294,7.122877040447771e-07,0.7800000000000011,5341.708650122385
BD+44   353,01 42 58.3687,+45 00 28.360,14,14,0.0212,0.0165,90,A,O,2020yCat.1350....0G,1.9408,9.64,10.81,Star,0,0.5152514427040396,16.07990391761249,2.9109747138102744e-05,1.17,4368.44640044032
HD  10694,01 45 29.9134,+44 48 22.846,14,14,0.0191,0.0141,90,A,O,2020yCat.1350....0G,9.1705,8.77,9.15,Star,0,0.10904530832560928,18.58196507601702,2.905453770140431e-06,0.3800000000000008,6988.564781536697
BD+44   369,01 47 25.1824,+44 45 23.423,14,14,0.0284,0.0226,90,A,O,2020yCat.1350....0G,1.2291,8.99,10.5,**,0,0.8136034496786266,14.437936093364025,0.00013207650333353199,1.5099999999999998,3778.5271011150085
