MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,FLUX_V,FLUX_B,OTYPE,SCRIPT_NUMBER_ID
HD 239713,21 37 08.3635,+57 33 51.045,14,14,0.0103,0.0105,90,A,O,2020yCat.1350....0G,4.0152,9.43,9.79,Star,0
HD 239717,21 37 35.4741,+56 51 35.539,14,14,0.0127,0.012,90,A,O,2020yCat.1350....0G,2.5006,9.24,9.4,Star,0
HD 239718,21 37 43.5290,+56 59 10.944,14,14,0.1434,0.1402,90,A,O,2018yCat.1345....0G,6.865,9.88,10.36,HighPM*,0
HD 206081,21 37 40.9321,+57 33 37.476,9,9,10.12,8.8,90,A,O,2007A&A...474..653V,2.24,8.95,9.2,YSO,0
HD 239721,21 38 22.6636,+57 14 30.138,14,14,0.0124,0.0124,90,A,O,2020yCat.1350....0G,2.1173,9.09,10.26,Star,0
HD 206183,21 38 26.2840,+56 58 25.459,14,14,0.0176,0.0174,90,A,O,2020yCat.1350....0G,1.0862,7.41,7.55,Star,0
HD 239724,21 38 39.5275,+57 22 01.710,14,14,0.0115,0.0109,90,A,O,2020yCat.1350....0G,0.4645,9.14,9.51,Star,0
HD 239723,21 38 33.0357,+57 09 56.632,14,14,0.0148,0.0151,90,A,O,2020yCat.1350....0G,1.3363,9.24,11.08,Star,0
HD 239725,21 39 04.7524,+56 56 59.403,14,14,0.0396,0.0426,90,A,O,2020yCat.1350....0G,1.0922,9.15,9.41,Star,0
HD 239726,21 39 21.9136,+57 39 11.950,14,14,0.0099,0.0098,90,A,O,2020yCat.1350....0G,2.564,9.12,10.12,Star,0
HD 239729,21 39 27.4057,+57 29 00.810,14,14,0.0185,0.0189,90,A,O,2020yCat.1350....0G,1.0704,8.35,8.71,YSO,0
HD 239732,21 39 57.6010,+57 36 16.411,14,14,0.0159,0.0158,90,A,O,2020yCat.1350....0G,1.0462,9.77,9.82,YSO_Candidate,0
HD 239727,21 39 26.6292,+57 18 43.796,14,14,0.0129,0.0133,90,A,O,2020yCat.1350....0G,0.1604,9.28,10.03,Star,0
